CTX image,Latitude(degrees),East(degrees),L_s(degrees),Observation Time,# of P4T Subjects
D13_032173_1031_XN_76S227W,-77.02,132.51,331.71,2013-06-07T10:18:40.139,66
D13_032182_1030_XN_77S112W,-77.05,247.78,332.09,2013-06-08T03:08:08.698,183
D13_032278_0991_XN_80S204W,-81.01,155.56,336.15,2013-06-15T14:40:39.298,108
D13_032298_0969_XN_83S028W,-83.18,331.6,336.99,2013-06-17T04:04:24.753,66
D13_032311_0999_XN_80S031W,-80.19,329.04,337.54,2013-06-18T04:23:39.968,304
D13_032352_0985_XN_81S063W,-81.62,296.36,339.25,2013-06-21T09:04:37.135,162
D14_032510_0963_XN_83S054W,-83.71,305.21,345.76,2013-07-03T16:34:14.369,66
D14_032511_0959_XI_84S078W,-84.31,282.04,345.8,2013-07-03T18:26:12.728,48
D14_032517_1000_XN_80S249W,-80.04,110.55,346.04,2013-07-04T05:40:49.097,66
D14_032518_0995_XN_80S281W,-80.51,78.42,346.08,2013-07-04T07:32:06.155,392
D14_032523_0954_XN_84S045W,-84.65,314.82,346.29,2013-07-04T16:52:42.650,66
D14_032530_0975_XN_82S259W,-82.5,100.75,346.57,2013-07-05T05:59:04.972,78
D14_032574_0969_XN_83S005W,-83.17,354.99,348.35,2013-07-08T16:16:02.560,66
D14_032575_0969_XN_83S028W,-83.17,331.6,348.39,2013-07-08T18:08:13.419,66
D14_032593_1037_XN_76S174W,-76.39,185.51,349.12,2013-07-10T03:50:10.687,66
D14_032600_0965_XN_83S357W,-83.56,2.88,349.4,2013-07-10T16:53:27.794,66
D14_032640_1003_XN_79S014W,-79.69,345.3,351.01,2013-07-13T19:42:56.864,87
D14_032656_0959_XI_84S078W,-84.21,281.5,351.65,2013-07-15T01:36:53.707,66
D14_032666_0916_XN_88S350W,-88.51,9.05,352.05,2013-07-15T20:17:50.497,66
D14_032675_0924_XN_87S253W,-87.68,106.58,352.41,2013-07-16T13:08:05.533,66
D14_032682_0925_XN_87S066W,-87.53,293.1,352.69,2013-07-17T02:13:30.246,90
D14_032733_1028_XN_77S036W,-77.24,323.18,354.71,2013-07-21T01:38:54.660,204
D14_032790_0933_XN_86S110W,-86.74,248.82,356.96,2013-07-25T12:11:45.417,24
G13_023338_1043_XI_75S229W,-75.81,131.06,330.91,2011-07-20T00:01:53.559,336
G13_023354_1032_XN_76S301W,-76.82,58.54,331.6,2011-07-21T05:56:38.165,396
G13_023432_1026_XI_77S262W,-77.44,97.75,334.91,2011-07-27T07:49:28.555,294
G13_023452_1049_XN_75S098W,-75.05,261.45,335.75,2011-07-28T21:14:17.312,435
G13_023456_0990_XN_81S204W,-80.98,155.23,335.92,2011-07-29T04:42:00.456,108
G13_023469_1046_XI_75S211W,-75.5,148.2,336.47,2011-07-30T05:02:26.465,210
G14_023496_1047_XI_75S213W,-75.36,147.08,337.6,2011-08-01T07:32:15.443,138
G14_023506_1036_XN_76S132W,-76.42,227.99,338.02,2011-08-02T02:13:28.855,522
G14_023507_1029_XN_77S158W,-77.19,201.15,338.06,2011-08-02T04:06:06.023,120
G14_023524_0999_XN_80S262W,-80.16,97.56,338.77,2011-08-03T11:52:54.656,66
G14_023538_1006_XN_79S285W,-79.48,74.31,339.35,2011-08-04T14:03:39.719,336
G14_023567_1039_XN_76S358W,-76.23,2.04,340.55,2011-08-06T20:18:46.307,438
G14_023577_0999_XN_80S262W,-80.14,97.62,340.97,2011-08-07T15:00:08.617,66
G14_023590_0975_XN_82S259W,-82.54,100.99,341.51,2011-08-08T15:18:11.704,66
G14_023591_0996_XN_80S284W,-80.48,75.43,341.55,2011-08-08T17:10:49.067,132
G14_023616_1004_XN_79S248W,-79.61,111.85,342.58,2011-08-10T15:56:35.480,66
G14_023634_1036_XN_76S027W,-76.44,333.0,343.32,2011-08-12T01:36:48.168,522
G14_023676_1023_XN_77S091W,-77.75,268.09,345.04,2011-08-15T08:09:24.912,294
G14_023687_1031_XN_76S036W,-76.95,323.86,345.49,2011-08-16T04:44:01.680,232
G14_023691_1031_XN_76S143W,-76.98,216.96,345.65,2011-08-16T12:12:04.519,381
G14_023718_1039_XN_76S160W,-76.11,199.16,346.75,2011-08-18T14:42:24.470,348
G14_023728_0958_XI_84S057W,-84.31,302.44,347.15,2011-08-19T09:22:32.460,102
G14_023735_1002_XN_79S262W,-79.88,97.18,347.44,2011-08-19T22:29:22.283,138
G14_023794_0952_XN_84S061W,-84.89,298.47,349.82,2011-08-24T12:48:10.629,66
G14_023807_0886_XN_88S313W,-88.68,47.11,350.34,2011-08-25T13:05:07.603,66
G14_023815_0970_XN_83S282W,-83.05,78.09,350.66,2011-08-26T04:05:02.101,48
G14_023833_0926_XN_87S017W,-87.43,342.35,351.38,2011-08-27T13:43:17.984,66
G14_023835_0906_XN_89S050W,-89.45,310.24,351.46,2011-08-27T17:27:10.913,66
G14_023851_0926_XN_87S180W,-87.41,179.52,352.1,2011-08-28T23:23:15.422,66
G15_023911_1021_XN_77S023W,-77.9,336.45,354.49,2011-09-02T15:38:24.799,66
G15_023927_0932_XI_86S057W,-86.82,302.59,355.12,2011-09-03T21:30:31.425,66
G15_023963_1021_XN_77S006W,-77.91,353.12,356.54,2011-09-06T16:52:57.448,60
P12_005705_1016_XI_78S133W,-78.52,226.28,330.87,2007-10-14T23:21:44.255,294
P12_005747_1035_XI_76S195W,-76.65,164.52,332.66,2007-10-18T05:55:17.203,138
P12_005790_0978_XI_82S284W,-82.26,75.67,334.48,2007-10-21T14:18:20.245,66
P12_005813_1030_XI_77S195W,-77.07,164.97,335.46,2007-10-23T09:20:46.192,66
P12_005839_0994_XI_80S170W,-80.66,189.37,336.55,2007-10-25T09:56:39.216,120
P13_005940_1035_XN_76S064W,-76.51,295.91,340.76,2007-11-02T06:50:28.896,522
P13_005941_0947_XI_85S065W,-85.39,295.0,340.8,2007-11-02T08:39:53.181,408
P13_005953_1020_XN_78S057W,-78.01,302.45,341.3,2007-11-03T07:08:57.500,522
P13_005958_1030_XI_77S195W,-77.02,164.87,341.5,2007-11-03T16:30:56.168,150
P13_006005_0947_XN_85S015W,-85.32,344.59,343.44,2007-11-07T08:22:07.760,408
P13_006112_0852_XN_85S304W,-85.2,55.76,347.8,2007-11-15T16:27:46.904,66
P13_006119_1035_XN_76S271W,-76.52,88.75,348.08,2007-11-16T05:38:06.661,366
P13_006123_0953_XN_84S001W,-84.77,358.59,348.25,2007-11-16T13:04:04.676,522
P13_006146_1045_XN_75S289W,-75.53,70.6,349.17,2007-11-18T08:08:17.767,306
P13_006148_1028_XN_77S342W,-77.25,17.18,349.26,2007-11-18T11:51:51.830,522
P13_006151_0974_XN_82S055W,-82.63,305.13,349.38,2007-11-18T17:27:16.677,252
P13_006161_1030_XN_77S338W,-77.09,22.03,349.78,2007-11-19T12:11:05.625,324
P13_006167_0931_XN_86S092W,-86.96,267.2,350.02,2007-11-19T23:21:18.515,102
P13_006173_0934_XN_86S263W,-86.68,96.7,350.26,2007-11-20T10:34:49.912,66
P13_006174_0958_XN_84S316W,-84.29,43.28,350.3,2007-11-20T12:28:01.397,66
P13_006176_0935_XN_86S350W,-86.51,10.06,350.38,2007-11-20T16:11:29.064,204
P13_006197_0930_XN_87S187W,-87.04,173.3,351.22,2007-11-22T07:27:46.120,150
P13_006199_1040_XN_76S296W,-76.02,63.9,351.3,2007-11-22T11:15:22.194,522
P13_006204_0986_XN_81S065W,-81.45,295.05,351.5,2007-11-22T20:35:13.014,252
P13_006206_1016_XN_78S124W,-78.57,235.47,351.58,2007-11-23T00:20:04.979,504
P13_006207_0956_XN_84S136W,-84.49,223.45,351.62,2007-11-23T02:10:20.857,522
P13_006229_0951_XN_84S014W,-84.97,345.69,352.5,2007-11-24T19:19:03.593,522
P13_006234_1008_XN_79S168W,-79.28,191.3,352.7,2007-11-25T04:42:19.717,306
P13_006239_1040_XN_76S308W,-76.09,51.62,352.9,2007-11-25T14:04:14.736,408
P13_006240_1030_XN_77S335W,-77.04,25.01,352.94,2007-11-25T15:56:00.916,522
P13_006257_1034_XN_76S079W,-77.88,282.15,353.61,2007-11-26T23:43:54.535,264
P13_006271_1010_XN_79S098W,-79.07,261.59,354.17,2007-11-28T01:54:24.701,306
P13_006282_1046_XN_75S043W,-75.47,316.98,354.61,2007-11-28T22:29:37.821,522
P13_006283_1003_XN_79S065W,-79.75,294.76,354.65,2007-11-29T00:20:28.301,522
P13_006290_1017_XN_78S258W,-78.38,101.84,354.92,2007-11-29T13:26:24.488,522
